Designator,Device,Footprint,Mid X,Mid Y,Ref X,Ref Y,Pad X,Pad Y,Layer,Rotation,SMD,Comment
"PI1"	,"RASPBERRYPI-PICO"	,"RASPBERRYPIPICO"	,"33.147mm"	,"-24.892mm"	,"57.277mm"	,"-33.782mm"	,"47.117mm"	,"-16.002mm"	,"B"	,"180"	,"No"	,"RASPBERRYPI-PICO"	,
"H3"	,"HDR-M_2.54_1x4P"	,"HDR-TH_4P-P2.54-V-M"	,"50.419mm"	,"-42.291mm"	,"50.419mm"	,"-42.291mm"	,"46.609mm"	,"-42.291mm"	,"B"	,"0"	,"No"	,"HDR-M_2.54_1x4P"	,
"R23"	,"Res_0603"	,"R0603"	,"71.374mm"	,"-31.242mm"	,"71.374mm"	,"-31.242mm"	,"70.621mm"	,"-31.242mm"	,"T"	,"0"	,"Yes"	,"47k"	,
"R24"	,"Res_0603"	,"R0603"	,"71.374mm"	,"-11.176mm"	,"71.374mm"	,"-11.176mm"	,"70.621mm"	,"-11.176mm"	,"T"	,"0"	,"Yes"	,"47k"	,
"H4"	,"HDR-F_2.54_1x8P"	,"HDR-TH_8P-P2.54-V-F-1"	,"13.8mm"	,"-2.54mm"	,"13.8mm"	,"-2.54mm"	,"4.91mm"	,"-2.54mm"	,"T"	,"0"	,"No"	,"HDR-F_2.54_1x8P"	,
"R25"	,"Res_0603"	,"R0603"	,"5.571mm"	,"-6.774mm"	,"5.571mm"	,"-6.774mm"	,"5.571mm"	,"-7.527mm"	,"T"	,"90"	,"Yes"	,"220"	,
"R26"	,"Res_0603"	,"R0603"	,"8.433mm"	,"-6.774mm"	,"8.433mm"	,"-6.774mm"	,"8.433mm"	,"-7.527mm"	,"T"	,"90"	,"Yes"	,"220"	,
"R27"	,"Res_0603"	,"R0603"	,"11.354mm"	,"-6.774mm"	,"11.354mm"	,"-6.774mm"	,"11.354mm"	,"-7.527mm"	,"T"	,"90"	,"Yes"	,"220"	,
"R28"	,"Res_0603"	,"R0603"	,"14.284mm"	,"-6.784mm"	,"14.284mm"	,"-6.784mm"	,"14.284mm"	,"-7.538mm"	,"T"	,"90"	,"Yes"	,"220"	,
"R29"	,"Res_0603"	,"R0603"	,"17.205mm"	,"-6.784mm"	,"17.205mm"	,"-6.784mm"	,"17.205mm"	,"-7.538mm"	,"T"	,"90"	,"Yes"	,"220"	,
"R30"	,"Res_0603"	,"R0603"	,"20.195mm"	,"-6.784mm"	,"20.195mm"	,"-6.784mm"	,"20.195mm"	,"-7.538mm"	,"T"	,"90"	,"Yes"	,"220"	,
"H5"	,"HDR-F_2.54_1x8P"	,"HDR-TH_8P-P2.54-V-F-1"	,"13.8mm"	,"-47.46mm"	,"13.8mm"	,"-47.46mm"	,"4.91mm"	,"-47.46mm"	,"T"	,"0"	,"No"	,"HDR-F_2.54_1x8P"	,
"R31"	,"Res_0603"	,"R0603"	,"10.414mm"	,"-44.323mm"	,"10.414mm"	,"-44.323mm"	,"11.167mm"	,"-44.323mm"	,"T"	,"180"	,"Yes"	,"47k"	,
"Q1"	,"2N3904"	,"TO-92-3_L4.8-W3.7-P2.54-L"	,"11.176mm"	,"-39.751mm"	,"11.176mm"	,"-39.751mm"	,"8.636mm"	,"-39.751mm"	,"B"	,"0"	,"No"	,"2N3904"	,
"R32"	,"Res_0603"	,"R0603"	,"17.018mm"	,"-39.751mm"	,"17.018mm"	,"-39.751mm"	,"16.265mm"	,"-39.751mm"	,"T"	,"0"	,"Yes"	,"22k"	,
"R33"	,"Res_0603"	,"R0603"	,"15.875mm"	,"-43.688mm"	,"15.875mm"	,"-43.688mm"	,"16.628mm"	,"-43.688mm"	,"T"	,"180"	,"Yes"	,"10K"	,
"R34"	,"Res_0603"	,"R0603"	,"5.08mm"	,"-42.418mm"	,"5.08mm"	,"-42.418mm"	,"5.08mm"	,"-41.665mm"	,"T"	,"270"	,"Yes"	,"22k"	,
"D1"	,"1N5817"	,"DO-41_BD2.4-L4.7-P8.70-D0.9-RD"	,"57.785mm"	,"-4.318mm"	,"57.785mm"	,"-4.318mm"	,"53.435mm"	,"-4.318mm"	,"T"	,"0"	,"No"	,"1N5817"	,
"SW1"	,"DTSHW-24N-Q-B"	,"KEY-TH_4P-L12.0-W12.0-P5.00-LS12.5"	,"85mm"	,"-37.719mm"	,"85mm"	,"-37.719mm"	,"78.749mm"	,"-35.179mm"	,"T"	,"0"	,"No"	,"DTSHW-24N-Q-B"	,
"SW2"	,"DTSHW-24N-Q-B"	,"KEY-TH_4P-L12.0-W12.0-P5.00-LS12.5"	,"85mm"	,"-17.526mm"	,"85mm"	,"-17.526mm"	,"78.749mm"	,"-14.986mm"	,"T"	,"0"	,"No"	,"DTSHW-24N-Q-B"	,
"PR1"	,"RK09K1130A70"	,"RES-TH_RK09K1130A70"	,"68.453mm"	,"-37.846mm"	,"68.453mm"	,"-37.846mm"	,"71.953mm"	,"-40.346mm"	,"T"	,"90"	,"No"	,"10kΩ"	,
"PR2"	,"RK09K1130A70"	,"RES-TH_RK09K1130A70"	,"68.453mm"	,"-17.653mm"	,"68.453mm"	,"-17.653mm"	,"71.953mm"	,"-20.153mm"	,"T"	,"90"	,"No"	,"10kΩ"	,
